Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
FGA0304,PROJETO INTEGRADOR DE ENGENHARIA 2,,5,100,0,0,0,0,0,0,1,1
CEM0051,PROMOÇÃO DA SAÚDE 3,,1,57,0,10,0,0,0,0,6,16
PCL0015,PSICOLOGIA DA PERSONALIDADE 1,,1,1,0,0,0,0,0,0,1,1
FGA0315,QUALIDADE DE SOFTWARE 1,,2,118,0,13,0,2,0,0,4,19
IQD0126,QUIMICA GERAL EXPERIMENTAL,,4,5,1,1,0,0,0,0,1,3
IQD0125,QUIMICA GERAL TEORICA,,5,12,1,0,0,2,0,0,2,5
CIC0124,REDES DE COMPUTADORES,,2,7,0,1,0,0,0,0,0,1
FGA0313,REQUISITOS DE SOFTWARE,,3,160,0,4,0,0,0,0,2,6
CIC0201,SEGURANÇA COMPUTACIONAL,,1,1,0,1,0,0,0,0,0,1
MAT0087,SEMINARIO TOPICOS ESPECIAIS,,1,3,0,0,0,0,0,0,0,0
FGA0102,SINAIS E SISTEMAS PARA ENGENHARIA,,1,1,0,0,0,0,0,0,0,0
FGA0167,SISTEMAS AUTOMOTIVOS,,1,11,0,2,0,1,0,0,1,4
FGA0137,SISTEMAS DE BANCO DE DADOS 1,,3,200,1,8,0,9,0,0,12,30
FGA0060,SISTEMAS DE BANCO DE DADOS 2,,2,142,2,34,0,14,0,0,37,87
ENE0039,SISTEMAS DIGITAIS,,1,2,0,0,0,0,0,0,2,2
FGA0309,SISTEMAS OPERACIONAIS EMBARCADOS,,1,4,0,0,0,0,0,0,2,2
ADM0021,SOCIOLOGIA APLICADA À ADMINISTRAÇÃO,,1,1,0,0,0,0,0,0,0,0
COM0207,TÉCNICAS DE JORNALISMO RÁDIO E TV,,1,2,0,0,0,0,0,0,1,1
FGA0242,TÉCNICAS DE PROGRAMAÇÃO EM PLATAFORMAS EMERGENTES,,3,122,1,10,0,0,0,0,4,15
TEL0060,TEORIA DA NARRATIVA,,1,1,0,0,0,0,0,0,0,0
FGA0067,TEORIA DE CIRCUITOS ELETRÔNICOS 1,,2,8,0,2,0,0,0,0,3,5
FGA0086,TEORIA DE ELETRICIDADE APLICADA,,1,1,0,0,0,0,0,0,1,1
FGA0073,TEORIA DE ELETRÔNICA DIGITAL 1,,3,173,6,36,0,12,0,0,7,61
FGA0074,TEORIA DE ELETRÔNICA DIGITAL 2,,1,2,0,0,0,0,0,0,0,0
MAT0038,TEORIA DOS NÚMEROS 1,,2,12,0,1,0,0,0,0,1,2
FDD0249,TEORIA GERAL DO ESTADO,,1,1,0,0,0,0,0,0,0,0
FGA0314,TESTES DE SOFTWARE,,2,156,0,0,0,4,0,0,12,16
MUS0721,TÓPICOS DE APLICAÇÃO DE TECNOLOGIA À COMPOSIÇÃO MUSICAL,,1,1,1,0,0,0,0,0,0,1
PPB0066,TOPICOS EM PSICOBIOLOGIA,,1,1,0,0,0,0,0,0,0,0
FGA0261,TÓPICOS ESPECIAIS EM ELETRONICA,,5,17,0,1,0,0,0,0,4,5
FGA0214,TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA,,1,1,0,0,0,0,0,0,1,1
FGA0054,TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,,1,30,0,0,0,0,0,0,1,1
FGA0053,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO,,1,32,1,0,0,3,0,0,11,15
CEM0015,"UNIVERSIDADE, SOCIEDADE E ESTADO",,1,1,0,0,0,1,0,0,0,1
DSC0172,VIGILÂNCIA EPIDEMIOLÓGICA PARTICIPATIVA,,1,245,8,11,0,0,0,0,5,24
Total:,,,322,6640,202,744,0,210,0,0,578,1734
